RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.146887943032198,None,space,0.6771508309757337,10.146887943032198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_D.xlsx,Images/midA-F-ver3.jpg,,midadult,0,0,0,3,0,0,0,3,,,,,,,10.945910354028456,None,50.11111111111111,1.1561623269226402,11.2344414050458,None,11.2344414050458,None,0.0011111111111111111,-0.3977777777777778,1,0,0,NextBu,0.33602396841160953,None,11.2344414050458,None,11.2344414050458,None,0.5485693264620387,12.535457203979604,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_D.xlsx,Images/midA-M-ver5.jpg,,midadult,0,0,0,3,0,1,1,0,,,,,,,13.157226392999291,None,50.33333333333333,0.7790506660239771,13.44968554400839,None,13.44968554400839,None,0.0033333333333333335,-0.4222222222222222,1,0,0,NextBu,0.30890464514959604,None,13.44968554400839,None,13.44968554400839,None,0.6805662888716951,14.249694852042012,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_D.xlsx,Images/midA-M-ver6.jpg,,midadult,0,0,0,3,0,2,2,1,,,,,,,14.980014460044913,None,50.66666666666667,0.9243804790312424,15.267101785982959,None,15.267101785982959,None,0.006666666666666667,-0.41333333333333333,1,0,0,NextBu,0.31253684614785016,None,15.267101785982959,None,15.267101785982959,None,0.7025313997680042,16.188600235036574,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_D.xlsx,Images/midA-F-ver2.jpg,,midadult,0,0,0,3,0,3,3,2,,,,,,,16.94382222997956,None,50.33333333333333,0.6472582230344415,17.232757747988217,None,17.232757747988217,None,0.0033333333333333335,-0.39444444444444443,1,0,0,NextBu,0.31729587994050235,None,17.232757747988217,None,17.232757747988217,None,1.2543681164168996,17.86459116404876,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_D.xlsx,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_C.xlsx,Images/yA-F-ver2.jpg,,youngadult,0,1,1,2,0,0,0,2,,,,,,,19.168021901976317,None,50.11111111111111,0.9650584530318156,19.467819469049573,None,19.467819469049573,None,0.0033333333333333335,-0.37,1,0,0,NextBu,0.3163265376351774,None,19.467819469049573,None,19.467819469049573,None,0.9910828719669926,20.55597016203683,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_C.xlsx,Images/yA-M-ver5.jpg,,youngadult,0,1,1,2,0,1,1,0,,,,,,,21.583035525982268,None,50.11111111111111,5.763816453050822,21.875357998069376,None,21.875357998069376,None,0.008888888888888889,-0.37555555555555553,1,0,0,NextBu,0.30967212188988924,None,21.875357998069376,None,21.875357998069376,None,0.9250931684312697,27.80322759808041,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_C.xlsx,Images/yA-M-ver7.jpg,,youngadult,0,1,1,2,0,2,2,1,,,,,,,28.763434708002023,None,49.44444444444444,0.8446057110559195,29.051363467006013,None,29.051363467006013,None,0.024444444444444446,-0.39111111111111113,1,0,0,NextBu,0.30868204100988805,None,29.051363467006013,None,29.051363467006013,None,1.0129723902715417,30.1136318690842,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_C.xlsx,Images/yA-F-ver5.jpg,,youngadult,0,1,1,2,0,3,3,3,,,,,,,31.148934572003782,None,50.11111111111111,1.4103860959876329,31.434174309019,None,31.434174309019,None,0.008888888888888889,-0.39555555555555555,1,0,0,NextBu,0.3069651190889999,None,31.434174309019,None,31.434174309019,None,0.6207042522044808,33.0464472679887,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_C.xlsx,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
TrialCondition_B.xlsx,None,,None,0,2,2,1,0,0,0,2,,,,,,,33.699744516052306,None,50.22222222222222,0.8217038189759478,33.999484952073544,None,33.999484952073544,None,0.0033333333333333335,-0.3988888888888889,1,0,0,NextBu,0.31696806696709245,None,33.999484952073544,None,33.999484952073544,None,0.7912007328948147,34.936534414067864,None,,,,,2021_Nov_12_1517,FatFaceOnline,2021.2.3,61.7999280929699,
