RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,0.9151,76.1475491,2.136,0.045386285,-0.390973918,1,0,0,NextBu,1.126827363,0,0,0,2,1,Images/chld-F-ver2.jpg,,child,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,69.35634359,0.7488,0.058279148,-0.415594482,1,0,0,NextBu,1.341069095,0,1,1,0,1,Images/chld-M-ver2.jpg,,child,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,71.57778592,0.7418,0.077938504,-0.359209527,1,0,0,NextBu,0.807060269,0,2,2,1,1,Images/chld-M-ver3.jpg,,child,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,70.57923041,0.7495,0.022941488,-0.416858317,1,0,0,NextBu,1.301196734,0,3,3,3,1,Images/chld-F-ver3.jpg,,child,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,0,1,TrialCondition_A.xlsx
,,69.91488308,1.2556,0.068201904,-0.373835381,1,0,0,NextBu,0.980401632,0,0,0,2,1,Images/yA-F-ver2.jpg,,youngadult,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,70.28800456,0.9067,0.087873332,-0.382771878,1,0,0,NextBu,0.795059202,0,1,1,1,1,Images/yA-M-ver7.jpg,,youngadult,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,70.8868476,1.0167,0.0612559,-0.41338935,1,0,0,NextBu,0.977049624,0,2,2,0,1,Images/yA-M-ver5.jpg,,youngadult,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,71.03910319,0.8449,0.027148777,-0.395032756,1,0,0,NextBu,1.474324082,0,3,3,3,1,Images/yA-F-ver5.jpg,,youngadult,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-04_18h52.18.752,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,1,1,2,1,TrialCondition_C.xlsx
