RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,0.9724,49.59715441,1.276,0.000750936,-0.361073676,1,0,0,NextBu,1.491821142,0,0,0,3,1,Images/yA-F-ver5.jpg,,youngadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.24786377,0.9918,0.000480414,-0.397407769,1,0,0,NextBu,0.698429565,0,1,1,1,1,Images/yA-M-ver7.jpg,,youngadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.01966688,0.9859,0.000196669,-0.400463121,1,0,0,NextBu,0.971751537,0,2,2,0,1,Images/yA-M-ver5.jpg,,youngadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.41457791,0.782,0.002004191,-0.387343479,1,0,0,NextBu,0.678873706,0,3,3,2,1,Images/yA-F-ver2.jpg,,youngadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,2,1,TrialCondition_C.xlsx
,,49.98334418,1.1465,-0.000166558,-0.407886759,1,0,0,NextBu,0.547332686,0,0,0,3,1,Images/sA-F-ver7.jpg,,senioradult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.56673177,0.8313,-0.003556993,-0.417536485,1,0,0,NextBu,0.904932532,0,1,1,1,1,Images/sA-M-ver7.jpg,,senioradult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.31464301,0.7279,0.005381741,-0.376462267,1,0,0,NextBu,0.993027578,0,2,2,2,1,Images/sA-F-ver1.jpg,,senioradult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,51.64790853,0.7842,0.010624932,-0.372649604,1,0,0,NextBu,1.262666208,0,3,3,0,1,Images/sA-M-ver4.jpg,,senioradult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,1,1,4,1,TrialCondition_E.xlsx
,,49.74028185,0.7703,0.019155748,-0.426451959,1,0,0,NextBu,0.609563783,0,0,0,2,1,Images/chld-F-ver2.jpg,,child,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,51.7972073,1.1171,0.017972073,-0.392035794,1,0,0,NextBu,0.882382601,0,1,1,0,1,Images/chld-M-ver2.jpg,,child,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.26635064,0.784,0.013623589,-0.389833306,1,0,0,NextBu,0.61459069,0,2,2,3,1,Images/chld-F-ver3.jpg,,child,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,53.59248183,0.9686,0.015958794,-0.42200175,1,0,0,NextBu,1.069220176,0,3,3,1,1,Images/chld-M-ver3.jpg,,child,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,2,2,0,1,TrialCondition_A.xlsx
,,51.85091146,1.3183,0.018509115,-0.379187283,1,0,0,NextBu,1.122876534,0,0,0,5,1,Images/M-A-C.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.12745497,0.774,0.02127455,-0.414716119,1,0,0,NextBu,0.551753046,0,1,1,4,1,Images/M-A-A.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.88115099,1.1058,0.006371731,-0.376951294,1,0,0,NextBu,0.728393156,0,2,2,0,1,Images/F-A-A.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.68452284,0.8202,0.014134861,-0.405673286,1,0,0,NextBu,0.559139993,0,3,3,3,1,Images/F-C-C.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.88484022,0.9523,0.023386434,-0.379300876,1,0,0,NextBu,0.957301885,0,4,4,6,1,Images/M-C-A.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.70722792,0.9967,0.027072279,-0.382113173,1,0,0,NextBu,0.554550823,0,5,5,1,1,Images/F-A-C.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,51.54964871,1.2174,0.021648153,-0.409220039,1,0,0,NextBu,0.716941394,0,6,6,2,1,Images/F-C-A.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.57432726,2.2969,0.011845771,-0.424086032,1,0,0,NextBu,1.185182879,0,7,7,7,1,Images/M-C-C.jpg,,Adult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,3,3,1,1,TrialCondition_B.xlsx
,,50.89080811,2.2194,0.008908081,-0.393730401,1,0,0,NextBu,1.240350145,0,0,0,1,1,Images/midA-M-ver6.jpg,,midadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,51.50967746,0.8988,0.012648722,-0.368333469,1,0,0,NextBu,1.029812525,0,1,1,3,1,Images/midA-F-ver3.jpg,,midadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.82322184,4.764,0.01099901,-0.397573853,1,0,0,NextBu,1.160691926,0,2,2,2,1,Images/midA-F-ver2.jpg,,midadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.1434394,1.2819,0.002014364,-0.381567925,1,0,0,NextBu,1.420678588,0,3,3,0,1,Images/midA-M-ver5.jpg,,midadult,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-11_15h15.27.678,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,4,4,3,1,TrialCondition_D.xlsx
