RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,14.194803024060093,None,space,0.7049155640415847,14.194803024060093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/F-C-A.jpg,,Adult,0,0,0,1,0,0,0,2,,,,,,,15.003644505981356,None,50.11111111111111,1.286007650080137,15.285184012027457,None,15.285184012027457,None,0.0,-0.3522222222222222,1,0,0,NextBu,0.3281713805627078,None,15.285184012027457,None,15.285184012027457,None,0.7250399477876531,16.65255552495364,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/F-A-C.jpg,,Adult,0,0,0,1,0,1,1,1,,,,,,,17.399206792004406,None,51.11111111111111,0.7618014309555292,17.686175197013654,None,17.686175197013654,None,-0.0011111111111111111,-0.37555555555555553,1,0,0,NextBu,0.3087871018797159,None,17.686175197013654,None,17.686175197013654,None,1.0785853644047911,18.575698217959143,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/M-C-A.jpg,,Adult,0,0,0,1,0,2,2,6,,,,,,,19.682256896980107,None,50.66666666666667,0.8853263820055872,19.974749300046824,None,19.974749300046824,None,0.0011111111111111111,-0.39,1,0,0,NextBu,0.31700962292961776,None,19.974749300046824,None,19.974749300046824,None,1.2623619208431098,20.843997198040597,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/F-C-C.jpg,,Adult,0,0,0,1,0,3,3,3,,,,,,,22.13251347199548,None,50.55555555555556,0.6822867189766839,22.41999818198383,None,22.41999818198383,None,-0.005555555555555556,-0.4222222222222222,1,0,0,NextBu,0.3087933277711272,None,22.41999818198383,None,22.41999818198383,None,1.4905831572127854,23.501158294035122,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/M-C-C.jpg,,Adult,0,0,0,1,0,4,4,7,,,,,,,25.012721888022497,None,51.77777777777778,0.7204392199637368,25.310017060954124,None,25.310017060954124,None,-0.0011111111111111111,-0.4033333333333333,1,0,0,NextBu,0.3223310929024592,None,25.310017060954124,None,25.310017060954124,None,0.6873812268933266,26.032071794965304,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/M-A-C.jpg,,Adult,0,0,0,1,0,5,5,5,,,,,,,26.733856627950445,None,50.888888888888886,0.6781065969262272,27.021604666952044,None,27.021604666952044,None,0.0,-0.4033333333333333,1,0,0,NextBu,0.31209032388869673,None,27.021604666952044,None,27.021604666952044,None,1.4664600745466614,27.676352059002966,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/M-A-A.jpg,,Adult,0,0,0,1,0,6,6,4,,,,,,,29.163907340960577,None,50.55555555555556,0.6217895480804145,29.452655100962147,None,29.452655100962147,None,0.0044444444444444444,-0.3688888888888889,1,0,0,NextBu,0.3146904547465965,None,29.452655100962147,None,29.452655100962147,None,1.28540287368447,30.523891806951724,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,Images/F-A-A.jpg,,Adult,0,0,0,1,0,7,7,0,,,,,,,31.831175063038245,None,50.44444444444445,0.8607404490467161,32.12418446596712,None,32.12418446596712,None,0.0011111111111111111,-0.38666666666666666,1,0,0,NextBu,0.31463412079028785,None,32.12418446596712,None,32.12418446596712,None,1.2972570055096058,32.986424047034234,None,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
TrialCondition_B.xlsx,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_10_1742,FatFaceOnline,2021.2.3,59.90902850064081,
