RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock,Position
space,1.391,69.54340278,1.3687,0.000195313,-0.417612847,1,0,0,NextBu,1.000382047,0,0,0,2,1,Images/yA-F-ver2.jpg,,youngadult,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,60.16319444,2.2548,0.053849826,-0.362534722,1,0,0,NextBu,1.369513883,0,1,1,3,1,Images/yA-F-ver5.jpg,,youngadult,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,37.20963542,1.2222,0.007213542,-0.367552083,1,0,0,NextBu,0.870607734,0,2,2,0,1,Images/yA-M-ver5.jpg,,youngadult,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,48.62369792,1.7759,0.022513021,-0.359457465,1,0,0,NextBu,1.17801585,0,3,3,1,1,Images/yA-M-ver7.jpg,,youngadult,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,2,1,TrialCondition_C.xlsx,
,,55.34505208,1.1902,0.030820312,-0.365338542,1,0,0,NextBu,0.771431292,0,0,0,4,1,Images/M-A-A-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,54.47916667,1.7876,0.033159722,-0.372469618,1,0,0,NextBu,0.846176945,0,1,1,12,1,Images/M-A-A-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,53.83550347,0.9626,0.028936632,-0.361258681,1,0,0,NextBu,1.090228742,0,2,2,6,1,Images/M-C-A-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,56.08159722,0.8459,0.027842882,-0.389887153,1,0,0,NextBu,0.686838254,0,3,3,3,1,Images/F-C-C-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,57.72092014,1.8056,0.021445313,-0.3771875,1,0,0,NextBu,0.651862218,0,4,4,8,1,Images/F-A-A-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,50.84505208,1.4922,0.017335069,-0.377873264,1,0,0,NextBu,0.637997051,0,5,5,22,1,Images/M-C-A-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,51.921875,1.5216,0.026310764,-0.365763889,1,0,0,NextBu,0.814964692,0,6,6,18,1,Images/F-C-A-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,55.53559028,1.0403,0.042912326,-0.371019965,1,0,0,NextBu,0.981764559,0,7,7,17,1,Images/F-A-C-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,59.80295139,1.62,0.010451389,-0.393372396,1,0,0,NextBu,1.178178015,0,8,8,20,1,Images/M-A-A-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,50.11154514,1.2659,0.001944444,-0.421436632,1,0,0,NextBu,0.631826158,0,9,9,0,1,Images/F-A-A-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,49.89800347,1.4439,0.000594618,-0.394900174,1,0,0,NextBu,1.32172732,0,10,10,16,1,Images/F-A-A-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,56.3515625,1.4851,0.031996528,-0.387747396,1,0,0,NextBu,0.653824905,0,11,11,11,1,Images/F-C-C-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,49.09244792,1.4043,0.022052951,-0.421011285,1,0,0,NextBu,1.293047696,0,12,12,15,1,Images/M-C-C-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,53.88585069,1.2056,-0.001788194,-0.369752604,1,0,0,NextBu,0.57461071,0,13,13,21,1,Images/M-A-C-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,54.02387153,1.4378,0.019917535,-0.397460938,1,0,0,NextBu,0.556463461,0,14,14,23,1,Images/M-C-C-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,57.54817708,1.313,0.010442708,-0.396358507,1,0,0,NextBu,1.223089176,0,15,15,10,1,Images/F-C-A-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,49.86675347,1.3369,-0.010130208,-0.386501736,1,0,0,NextBu,1.444273147,0,16,16,9,1,Images/F-A-C-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,48.12543403,1.2226,0.004908854,-0.399318576,1,0,0,NextBu,1.280873723,0,17,17,13,1,Images/M-A-C-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,54.5859375,1.5552,0.018832465,-0.383064236,1,0,0,NextBu,0.699999573,0,18,18,2,1,Images/F-C-A-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,45.39366319,1.0734,-0.023632812,-0.374700521,1,0,0,NextBu,1.275233531,0,19,19,7,1,Images/M-C-C-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,36.55121528,1.1545,-0.020251736,-0.376510417,1,0,0,NextBu,1.169526859,0,20,20,19,1,Images/F-C-C-ver3.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,79.28559028,1.021,-0.023272569,-0.39109809,1,0,0,NextBu,0.945923343,0,21,21,1,1,Images/F-A-C-ver1.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
,,64.76692708,1.087,0.02171875,-0.368094618,1,0,0,NextBu,0.95644947,0,22,22,14,1,Images/M-C-A-ver2.jpg,,Adult ,,,,2021-11-16_19h04.28.895,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,,
